Rack,Src.Barcode,Src.List Name,Dest.Barcode,Dest.List Name,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
,,,,,,,
Barcode ID,Rack,Source,Rack,Destination,Volume,Tool,Name
,1,1,1,A1,21,TS_50,
,1,1,1,B1,9,TS_50,
,1,1,1,C1,12,TS_50,
,1,1,1,D1,49,TS_50,
,1,1,1,E1,25,TS_50,
,1,1,1,F1,34,TS_50,
,1,1,1,G1,42,TS_50,
,1,1,1,H1,12,TS_50,
,1,1,1,A2,26,TS_50,
,1,1,1,B2,24,TS_50,
,1,1,1,C2,24,TS_50,
,1,1,1,D2,7,TS_50,
,1,1,1,E2,41,TS_50,
,1,1,1,F2,4,TS_50,
,1,1,1,G2,21,TS_50,
,1,1,1,H2,23,TS_50,
